Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22p","C_0805_2012Metric",-156.850000,-55.730000,-90.000000,bottom
"C2","22p","C_0805_2012Metric",-154.670000,-55.730000,90.000000,bottom
"C3","1u","C_0805_2012Metric",-148.210000,-77.280000,180.000000,bottom
"C4","0.1u","C_0805_2012Metric",-134.250000,-15.000000,-90.000000,bottom
"C5","0.1u","C_0805_2012Metric",-136.750000,-15.000000,-90.000000,bottom
"C6","0.1u","C_0805_2012Metric",-139.250000,-15.000000,-90.000000,bottom
"C7","0.1u","C_0805_2012Metric",-141.750000,-15.000000,-90.000000,bottom
"C8","10u","C_0805_2012Metric",-144.250000,-15.000000,-90.000000,bottom
"D1","D_Small","D_SOD-123",-42.028000,-19.050000,90.000000,bottom
"D2","D_Small","D_SOD-123",-61.078000,-19.050000,90.000000,bottom
"D3","D_Small","D_SOD-123",-80.128000,-17.526000,90.000000,bottom
"D4","D_Small","D_SOD-123",-100.336600,-23.586100,78.000000,bottom
"D5","D_Small","D_SOD-123",-118.970300,-27.546800,78.000000,bottom
"D6","D_Small","D_SOD-123",-137.604000,-31.507500,78.000000,bottom
"D7","D_Small","D_SOD-123",-156.237800,-35.468200,78.000000,bottom
"D8","D_Small","D_SOD-123",-182.634800,-29.636500,102.000000,bottom
"D9","D_Small","D_SOD-123",-201.268600,-25.675800,102.000000,bottom
"D10","D_Small","D_SOD-123",-219.902300,-21.715100,102.000000,bottom
"D11","D_Small","D_SOD-123",-238.536000,-17.754400,102.000000,bottom
"D12","D_Small","D_SOD-123",-259.579000,-18.288000,90.000000,bottom
"D13","D_Small","D_SOD-123",-278.629000,-19.050000,90.000000,bottom
"D14","D_Small","D_SOD-123",-307.204000,-19.050000,90.000000,bottom
"D15","D_Small","D_SOD-123",-337.910000,-21.170000,90.000000,bottom
"D16","D_Small","D_SOD-123",-42.504800,-38.100000,90.000000,bottom
"D17","D_Small","D_SOD-123",-66.316800,-38.100000,90.000000,bottom
"D18","D_Small","D_SOD-123",-87.059100,-40.239400,78.000000,bottom
"D19","D_Small","D_SOD-123",-105.692800,-44.200200,78.000000,bottom
"D20","D_Small","D_SOD-123",-124.326500,-48.160900,78.000000,bottom
"D21","D_Small","D_SOD-123",-142.960200,-52.121600,78.000000,bottom
"D22","D_Small","D_SOD-123",-177.278700,-50.250600,102.000000,bottom
"D23","D_Small","D_SOD-123",-195.912400,-46.289900,102.000000,bottom
"D24","D_Small","D_SOD-123",-214.546100,-42.329200,102.000000,bottom
"D25","D_Small","D_SOD-123",-233.179800,-38.368400,102.000000,bottom
"D26","D_Small","D_SOD-123",-255.769000,-37.338000,90.000000,bottom
"D27","D_Small","D_SOD-123",-274.819000,-38.100000,90.000000,bottom
"D28","D_Small","D_SOD-123",-293.869000,-38.100000,90.000000,bottom
"D29","D_Small","D_SOD-123",-317.682000,-38.100000,90.000000,bottom
"D30","D_Small","D_SOD-123",-341.790000,-35.360000,90.000000,bottom
"D31","D_Small","D_SOD-123",-41.742500,-57.150000,90.000000,bottom
"D32","D_Small","D_SOD-123",-67.936000,-57.150000,90.000000,bottom
"D33","D_Small","D_SOD-123",-88.688400,-60.061400,78.000000,bottom
"D34","D_Small","D_SOD-123",-107.322200,-64.022100,78.000000,bottom
"D35","D_Small","D_SOD-123",-125.955900,-67.982800,78.000000,bottom
"D36","D_Small","D_SOD-123",-144.589600,-71.943500,78.000000,bottom
"D37","D_Small","D_SOD-123",-184.034500,-68.290200,102.000000,bottom
"D38","D_Small","D_SOD-123",-202.668200,-64.329500,102.000000,bottom
"D39","D_Small","D_SOD-123",-221.301900,-60.368800,102.000000,bottom
"D40","D_Small","D_SOD-123",-239.935600,-56.408100,102.000000,bottom
"D41","D_Small","D_SOD-123",-261.103000,-57.150000,90.000000,bottom
"D42","D_Small","D_SOD-123",-280.153000,-57.150000,90.000000,bottom
"D43","D_Small","D_SOD-123",-311.183600,-57.150000,90.000000,bottom
"D44","D_Small","D_SOD-123",-345.870000,-56.500000,90.000000,bottom
"D45","D_Small","D_SOD-123",-41.435600,-76.200000,90.000000,bottom
"D46","D_Small","D_SOD-123",-72.317500,-76.200000,90.000000,bottom
"D47","D_Small","D_SOD-123",-94.044600,-80.675400,78.000000,bottom
"D48","D_Small","D_SOD-123",-112.678300,-84.636200,78.000000,bottom
"D49","D_Small","D_SOD-123",-131.312000,-88.596900,78.000000,bottom
"D50","D_Small","D_SOD-123",-149.945700,-92.557600,78.000000,bottom
"D51","D_Small","D_SOD-123",-179.610000,-88.706200,102.000000,bottom
"D52","D_Small","D_SOD-123",-198.243700,-84.745500,102.000000,bottom
"D53","D_Small","D_SOD-123",-216.877500,-80.784800,102.000000,bottom
"D54","D_Small","D_SOD-123",-235.511200,-76.824100,102.000000,bottom
"D55","D_Small","D_SOD-123",-256.531000,-76.200000,90.000000,bottom
"D56","D_Small","D_SOD-123",-275.581000,-76.200000,90.000000,bottom
"D57","D_Small","D_SOD-123",-301.775000,-76.200000,90.000000,bottom
"D58","D_Small","D_SOD-123",-326.480000,-79.170000,90.000000,bottom
"D59","D_Small","D_SOD-123",-34.218000,-95.250000,90.000000,bottom
"D60","D_Small","D_SOD-123",-88.022900,-99.844900,78.000000,bottom
"D61","D_Small","D_SOD-123",-120.829500,-105.844300,78.000000,bottom
"D62","D_Small","D_SOD-123",-148.000000,-110.500000,78.000000,bottom
"D63","D_Small","D_SOD-123",-199.875500,-103.874300,102.000000,bottom
"D64","D_Small","D_SOD-123",-239.670400,-96.389400,102.000000,bottom
"D65","D_Small","D_SOD-123",-285.106500,-95.250000,90.000000,bottom
"D66","D_Small","D_SOD-123",-308.918500,-95.250000,90.000000,bottom
"D67","D_Small","D_SOD-123",-327.968500,-95.250000,90.000000,bottom
"D68","D_Small","D_SOD-123",-345.080000,-98.620000,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",-148.500000,-15.000000,180.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",-157.960000,-3.875000,0.000000,bottom
"LED1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-320.040000,-23.812500,0.000000,bottom
"LED2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-257.175000,-26.670000,0.000000,bottom
"LED3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-212.407500,-30.480000,12.000000,bottom
"LED4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-165.610000,-40.360000,12.000000,bottom
"LED5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-125.730000,-36.195000,-12.000000,bottom
"LED6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-89.535000,-28.575000,-12.000000,bottom
"LED7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-46.672500,-27.622500,0.000000,bottom
"LED8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-36.970000,-63.940000,180.000000,bottom
"LED9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-84.100000,-85.920000,168.000000,bottom
"LED10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-117.880000,-92.720000,168.000000,bottom
"LED11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-186.690000,-94.297500,-168.000000,bottom
"LED12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-221.932500,-86.677500,-168.000000,bottom
"LED13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-272.415000,-82.867500,180.000000,bottom
"LED14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-311.467500,-82.867500,180.000000,bottom
"R1","5.1k","R_0805_2012Metric",-155.500000,-16.500000,-90.000000,bottom
"R2","5.1k","R_0805_2012Metric",-159.000000,-16.500000,-90.000000,bottom
"R3","22","R_0805_2012Metric",-166.500000,-18.000000,-90.000000,bottom
"R4","10k","R_0805_2012Metric",-148.210000,-79.570000,180.000000,bottom
"R5","22","R_0805_2012Metric",-169.000000,-18.000000,-90.000000,bottom
